method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,0.000000,10,0.425265,0.014218,0.062270,0.002007,0.367708,0.015927,0.465972,0.014695,0.209028,0.004033,0.237859,0.001546,0.396593,0.017694,0.057679,0.017940,0.906944,0.007441,0.708681,0.025086
bayesian_active_model_selection,0.020000,10,0.455947,0.007244,0.069028,0.002828,0.362847,0.016113,0.494792,0.010652,0.188542,0.007459,0.231261,0.002325,0.364014,0.010816,0.090259,0.010693,0.876042,0.014205,0.763889,0.011251
bayesian_active_model_selection,0.050000,10,0.491432,0.007867,0.081058,0.002003,0.372222,0.015970,0.514236,0.016151,0.159028,0.007713,0.219770,0.002116,0.331749,0.009493,0.122524,0.009498,0.818750,0.011424,0.832986,0.013514
bayesian_active_model_selection,0.080000,10,0.513120,0.006923,0.089731,0.002976,0.377431,0.008671,0.531250,0.015717,0.151736,0.009077,0.214018,0.002843,0.314575,0.008077,0.139697,0.008101,0.792014,0.016715,0.880903,0.014169
bayesian_active_model_selection,0.100000,10,0.530461,0.006239,0.093948,0.002592,0.362500,0.013313,0.545139,0.016670,0.136458,0.010546,0.209513,0.003252,0.295872,0.009156,0.158401,0.009221,0.771528,0.019244,0.914931,0.009312
bayesian_active_model_selection,0.150000,10,0.549800,0.004910,0.102417,0.002768,0.361111,0.015585,0.558681,0.013245,0.111458,0.004588,0.201458,0.002247,0.280131,0.008469,0.174142,0.008822,0.728819,0.014471,0.957639,0.006637
conformal_risk_filter,0.000000,10,0.095598,0.005149,0.011249,0.001217,0.147569,0.014710,0.000694,0.000907,0.219792,0.006733,0.234890,0.001516,0.751040,0.006696,-0.296767,0.006680,0.936111,0.007937,0.076389,0.010145
conformal_risk_filter,0.020000,10,0.108021,0.004782,0.018063,0.002354,0.148611,0.017419,0.000347,0.000681,0.209722,0.006352,0.228755,0.001977,0.742669,0.004492,-0.288396,0.004979,0.900694,0.010889,0.106597,0.011069
conformal_risk_filter,0.050000,10,0.131417,0.005069,0.026596,0.002957,0.175000,0.008914,0.005208,0.003248,0.185764,0.007875,0.219887,0.001997,0.720530,0.007354,-0.266258,0.006895,0.852778,0.011169,0.157986,0.010891
conformal_risk_filter,0.080000,10,0.160689,0.004214,0.031145,0.002432,0.170486,0.017643,0.028819,0.006175,0.188889,0.006019,0.217186,0.001984,0.688376,0.005526,-0.234103,0.005870,0.851736,0.012835,0.207986,0.008145
conformal_risk_filter,0.100000,10,0.181164,0.009313,0.033689,0.003333,0.146528,0.018312,0.041667,0.005463,0.183681,0.007756,0.215072,0.002711,0.664303,0.009834,-0.210030,0.009861,0.849306,0.013881,0.243056,0.019802
conformal_risk_filter,0.150000,10,0.215823,0.007482,0.039679,0.001399,0.166319,0.015959,0.072917,0.006653,0.191667,0.005538,0.212254,0.001583,0.627863,0.008813,-0.173590,0.008697,0.851389,0.009176,0.302083,0.013535
failure_aware_rl_recovery,0.000000,10,0.513783,0.008550,0.043585,0.001853,0.195139,0.013490,0.121875,0.002577,0.209722,0.008620,0.252309,0.002179,0.301918,0.010112,0.167716,0.010562,0.928125,0.012754,0.665625,0.014023
failure_aware_rl_recovery,0.020000,10,0.551345,0.005154,0.051220,0.002414,0.210764,0.013763,0.122222,0.002443,0.198611,0.007231,0.245360,0.002140,0.261018,0.006224,0.209082,0.006663,0.898611,0.011691,0.737153,0.010198
failure_aware_rl_recovery,0.050000,10,0.577289,0.007821,0.059033,0.001653,0.196528,0.014848,0.123264,0.002914,0.178125,0.009680,0.236268,0.001821,0.233045,0.008522,0.236807,0.008966,0.853472,0.012038,0.794444,0.011514
failure_aware_rl_recovery,0.080000,10,0.606344,0.006399,0.067598,0.002361,0.205556,0.012375,0.124653,0.002140,0.162500,0.006070,0.228344,0.002366,0.203118,0.008470,0.266698,0.008406,0.818056,0.013274,0.858681,0.012673
failure_aware_rl_recovery,0.100000,10,0.627461,0.009476,0.072163,0.002777,0.200347,0.015881,0.121875,0.002140,0.149306,0.005739,0.223629,0.002397,0.180718,0.010785,0.289550,0.011124,0.794097,0.015388,0.897222,0.016079
failure_aware_rl_recovery,0.150000,10,0.652625,0.003564,0.075759,0.001803,0.211806,0.008902,0.125347,0.002769,0.135417,0.006730,0.219654,0.001571,0.149456,0.003553,0.320740,0.003937,0.784028,0.010236,0.947917,0.007793
recovery_first_policy,0.000000,10,0.568758,0.011088,0.047171,0.002454,0.164931,0.014884,0.104514,0.005118,0.206250,0.007537,0.234730,0.002279,0.235239,0.011324,0.243914,0.011818,0.911806,0.012098,0.742014,0.019197
recovery_first_policy,0.020000,10,0.574262,0.010388,0.050769,0.001957,0.140972,0.011306,0.094792,0.005743,0.195486,0.006959,0.230776,0.001981,0.231074,0.010990,0.247936,0.012087,0.887847,0.012386,0.758681,0.014428
recovery_first_policy,0.050000,10,0.596965,0.010143,0.057355,0.002224,0.163889,0.014376,0.096181,0.003665,0.180556,0.007659,0.224234,0.001851,0.208695,0.012445,0.270889,0.013093,0.851736,0.011480,0.804861,0.012334
recovery_first_policy,0.080000,10,0.614376,0.009968,0.066461,0.002495,0.148264,0.008491,0.100694,0.004970,0.159028,0.007578,0.214735,0.002215,0.194662,0.010571,0.284695,0.011028,0.797917,0.012704,0.849306,0.015191
recovery_first_policy,0.100000,10,0.607409,0.006083,0.068809,0.001503,0.157986,0.014067,0.096875,0.006839,0.154861,0.006896,0.212144,0.001475,0.205083,0.007373,0.273612,0.007886,0.781597,0.008812,0.845833,0.008914
recovery_first_policy,0.150000,10,0.624344,0.012442,0.068581,0.002247,0.159375,0.013049,0.099653,0.003522,0.148264,0.009891,0.212611,0.002156,0.184763,0.014768,0.295075,0.015224,0.786458,0.012843,0.865625,0.017098
risk_bounded_typed_disagreement_protocol_v5,0.000000,10,0.464571,0.011311,0.071394,0.002714,0.480208,0.022228,0.516667,0.017654,0.162153,0.005468,0.255945,0.002182,0.381694,0.013758,0.072578,0.014145,0.848264,0.012673,0.746528,0.016484
risk_bounded_typed_disagreement_protocol_v5,0.020000,10,0.492977,0.007306,0.078498,0.002138,0.490972,0.019388,0.540278,0.012557,0.149653,0.008695,0.249749,0.001617,0.353197,0.010144,0.101076,0.010316,0.819792,0.010467,0.798264,0.011587
risk_bounded_typed_disagreement_protocol_v5,0.050000,10,0.522712,0.007528,0.090384,0.001897,0.497917,0.010983,0.543403,0.013507,0.110069,0.005920,0.237223,0.001340,0.326405,0.010567,0.127868,0.010788,0.754861,0.008914,0.863889,0.010679
risk_bounded_typed_disagreement_protocol_v5,0.080000,10,0.544671,0.004788,0.091616,0.002453,0.491667,0.016799,0.570833,0.010698,0.095486,0.005761,0.234898,0.002373,0.298197,0.005614,0.156076,0.005619,0.745833,0.013024,0.897222,0.012183
risk_bounded_typed_disagreement_protocol_v5,0.100000,10,0.558714,0.006228,0.097233,0.001325,0.496181,0.021508,0.572569,0.010710,0.064583,0.010002,0.228071,0.001264,0.283864,0.009719,0.170408,0.009288,0.707292,0.009786,0.932986,0.008671
risk_bounded_typed_disagreement_protocol_v5,0.150000,10,0.582153,0.004820,0.102735,0.001809,0.481944,0.018480,0.594097,0.010319,0.036111,0.005757,0.221617,0.001721,0.258234,0.007507,0.196039,0.007077,0.675347,0.009901,0.977431,0.006516
robust_mpc_fallback,0.000000,10,0.245020,0.013001,0.029819,0.002026,0.138889,0.007659,0.093056,0.010286,0.206250,0.007537,0.239799,0.002057,0.597473,0.014615,-0.140913,0.015233,0.911111,0.009741,0.306944,0.020772
robust_mpc_fallback,0.020000,10,0.291612,0.007091,0.039145,0.001738,0.137500,0.009847,0.103819,0.011937,0.196528,0.007116,0.231707,0.001492,0.547585,0.007811,-0.090841,0.007645,0.881944,0.009731,0.390278,0.010794
robust_mpc_fallback,0.050000,10,0.367663,0.013183,0.050384,0.002060,0.146528,0.009176,0.128472,0.009992,0.175347,0.004996,0.221090,0.001740,0.461350,0.014575,-0.003897,0.014743,0.851042,0.008695,0.518403,0.020493
robust_mpc_fallback,0.080000,10,0.445285,0.009482,0.069006,0.003042,0.138542,0.009212,0.148611,0.007911,0.148958,0.005315,0.204312,0.002491,0.381203,0.010097,0.076890,0.010445,0.780903,0.013703,0.665625,0.017661
robust_mpc_fallback,0.100000,10,0.490861,0.007980,0.077113,0.001374,0.144792,0.014132,0.172569,0.009786,0.142361,0.009571,0.197509,0.001251,0.332327,0.009833,0.126123,0.010577,0.757986,0.011614,0.741667,0.010602
robust_mpc_fallback,0.150000,10,0.553419,0.006950,0.089860,0.002131,0.138889,0.014632,0.188194,0.009119,0.117708,0.007206,0.186287,0.002239,0.264990,0.008684,0.193701,0.009081,0.717708,0.015686,0.856250,0.010155
typed_disagreement_protocol_v4,0.000000,10,0.399162,0.011199,0.046623,0.001507,0.446181,0.015659,0.461458,0.016310,0.201042,0.006839,0.265437,0.001350,0.425987,0.012690,0.028285,0.013131,0.946875,0.007991,0.625000,0.021086
typed_disagreement_protocol_v4,0.020000,10,0.425432,0.012747,0.050806,0.001535,0.460764,0.023858,0.493403,0.017080,0.190625,0.005218,0.261390,0.001303,0.396310,0.014907,0.057963,0.015235,0.933333,0.005052,0.669444,0.022060
typed_disagreement_protocol_v4,0.050000,10,0.450026,0.007955,0.054635,0.001528,0.452083,0.019109,0.502431,0.013986,0.176736,0.010269,0.257178,0.001817,0.367185,0.008928,0.087088,0.009137,0.918056,0.010650,0.714931,0.014183
typed_disagreement_protocol_v4,0.080000,10,0.482337,0.007028,0.061511,0.001146,0.452778,0.009688,0.531944,0.012123,0.142361,0.011067,0.248783,0.002027,0.330907,0.008223,0.123366,0.008519,0.876736,0.010985,0.775000,0.011558
typed_disagreement_protocol_v4,0.100000,10,0.500040,0.012425,0.065237,0.002026,0.463194,0.018795,0.544097,0.022228,0.128125,0.009649,0.244059,0.002187,0.311450,0.014565,0.142822,0.014375,0.856944,0.012944,0.805208,0.019261
typed_disagreement_protocol_v4,0.150000,10,0.528421,0.006760,0.071813,0.000794,0.445139,0.015512,0.559722,0.016970,0.109028,0.008739,0.238156,0.000980,0.280570,0.009201,0.173703,0.009039,0.830208,0.006610,0.863542,0.010594
worldbench_diagnostic_probe,0.000000,10,0.500310,0.002495,0.077428,0.001254,0.410764,0.013763,0.394444,0.006352,0.248958,0.001040,0.281208,0.000254,0.325427,0.002434,0.128846,0.002394,0.998611,0.001111,0.980556,0.008378
worldbench_diagnostic_probe,0.020000,10,0.500307,0.002965,0.076994,0.000602,0.400000,0.014660,0.396181,0.003988,0.249306,0.000907,0.281258,0.000222,0.325045,0.003213,0.129227,0.003212,0.998958,0.001040,0.978125,0.004310
worldbench_diagnostic_probe,0.050000,10,0.502246,0.003138,0.077061,0.000586,0.395486,0.016215,0.396528,0.006319,0.248264,0.001134,0.281139,0.000212,0.322560,0.003694,0.131712,0.003860,0.998264,0.001134,0.980903,0.003830
worldbench_diagnostic_probe,0.080000,10,0.500770,0.002324,0.077140,0.001055,0.406944,0.018199,0.394792,0.005832,0.248958,0.001040,0.281251,0.000194,0.324440,0.002702,0.129832,0.002960,0.998958,0.001040,0.980208,0.006656
worldbench_diagnostic_probe,0.100000,10,0.500224,0.003305,0.077546,0.000667,0.410069,0.022921,0.393750,0.004560,0.248264,0.001134,0.281019,0.000177,0.325641,0.003616,0.128632,0.004336,0.997569,0.001040,0.980556,0.004328
worldbench_diagnostic_probe,0.150000,10,0.501351,0.002662,0.077397,0.000788,0.405556,0.018508,0.395139,0.006319,0.248264,0.001134,0.280873,0.000224,0.324084,0.003359,0.130189,0.003692,0.997917,0.001505,0.980556,0.004207
