baseline,metric,direction,proposed_mean,baseline_mean,mean_diff_proposed_minus_baseline,ci95_diff,lower95,upper95,winner,paired_seeds
mean_ensemble_policy,task_success,higher,0.596306,0.457567,0.138738,0.002750,0.135988,0.141488,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,unsafe_commit_rate,lower,0.117387,0.197558,-0.080172,0.002042,-0.082213,-0.078130,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,planning_regret_to_oracle,lower,0.283499,0.496832,-0.213334,0.004378,-0.217712,-0.208956,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,disagreement_family_accuracy,higher,0.536024,0.016146,0.519878,0.008584,0.511295,0.528462,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,useful_disagreement_recall,higher,0.493663,0.000000,0.493663,0.005592,0.488072,0.499255,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,noise_false_alarm_rate,lower,0.008073,0.007378,0.000694,0.001978,-0.001283,0.002672,statistical_tie,10
mean_ensemble_policy,robust_utility,higher,0.202035,-0.010205,0.212240,0.004409,0.207831,0.216649,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,deployment_coverage,higher,0.999392,0.944965,0.054427,0.005167,0.049260,0.059594,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,task_success,higher,0.596306,0.250616,0.345690,0.002821,0.342869,0.348511,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,unsafe_commit_rate,lower,0.117387,0.052610,0.064777,0.001420,0.063357,0.066196,variance_threshold_abstention,10
variance_threshold_abstention,planning_regret_to_oracle,lower,0.283499,0.610357,-0.326859,0.004234,-0.331092,-0.322625,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,disagreement_family_accuracy,higher,0.536024,0.118750,0.417274,0.012259,0.405016,0.429533,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,useful_disagreement_recall,higher,0.493663,0.015278,0.478385,0.005231,0.473154,0.483617,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,noise_false_alarm_rate,lower,0.008073,0.150955,-0.142882,0.002916,-0.145798,-0.139966,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,robust_utility,higher,0.202035,-0.124607,0.326642,0.004246,0.322396,0.330888,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,deployment_coverage,higher,0.999392,0.373524,0.625868,0.004259,0.621609,0.630127,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,task_success,higher,0.596306,0.252602,0.343704,0.003087,0.340617,0.346791,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,unsafe_commit_rate,lower,0.117387,0.055300,0.062086,0.001591,0.060495,0.063678,conformal_risk_filter,10
conformal_risk_filter,planning_regret_to_oracle,lower,0.283499,0.624852,-0.341353,0.003947,-0.345300,-0.337406,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,disagreement_family_accuracy,higher,0.536024,0.190191,0.345833,0.006581,0.339253,0.352414,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,useful_disagreement_recall,higher,0.493663,0.054688,0.438976,0.005927,0.433049,0.444902,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,noise_false_alarm_rate,lower,0.008073,0.141927,-0.133854,0.003466,-0.137321,-0.130388,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,robust_utility,higher,0.202035,-0.139318,0.341353,0.003947,0.337406,0.345300,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,deployment_coverage,higher,0.999392,0.378472,0.620920,0.005516,0.615404,0.626436,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,task_success,higher,0.596306,0.624382,-0.028077,0.003508,-0.031585,-0.024568,robust_mpc_fallback,10
robust_mpc_fallback,unsafe_commit_rate,lower,0.117387,0.101200,0.016186,0.001938,0.014248,0.018124,robust_mpc_fallback,10
robust_mpc_fallback,planning_regret_to_oracle,lower,0.283499,0.212191,0.071308,0.005500,0.065808,0.076807,robust_mpc_fallback,10
robust_mpc_fallback,disagreement_family_accuracy,higher,0.536024,0.167708,0.368316,0.011956,0.356360,0.380272,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,useful_disagreement_recall,higher,0.493663,0.222917,0.270747,0.004263,0.266484,0.275009,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,noise_false_alarm_rate,lower,0.008073,0.079167,-0.071094,0.003311,-0.074405,-0.067782,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,robust_utility,higher,0.202035,0.278849,-0.076814,0.005519,-0.082333,-0.071295,robust_mpc_fallback,10
robust_mpc_fallback,deployment_coverage,higher,0.999392,0.961806,0.037587,0.004544,0.033042,0.042131,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,task_success,higher,0.596306,0.684250,-0.087944,0.001966,-0.089910,-0.085979,failure_aware_rl_recovery,10
failure_aware_rl_recovery,unsafe_commit_rate,lower,0.117387,0.083641,0.033745,0.001493,0.032252,0.035238,failure_aware_rl_recovery,10
failure_aware_rl_recovery,planning_regret_to_oracle,lower,0.283499,0.136819,0.146679,0.004305,0.142374,0.150985,failure_aware_rl_recovery,10
failure_aware_rl_recovery,disagreement_family_accuracy,higher,0.536024,0.229774,0.306250,0.012232,0.294018,0.318482,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,useful_disagreement_recall,higher,0.493663,0.126736,0.366927,0.005655,0.361273,0.372582,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,noise_false_alarm_rate,lower,0.008073,0.082813,-0.074740,0.003723,-0.078462,-0.071017,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,robust_utility,higher,0.202035,0.362086,-0.160051,0.004343,-0.164394,-0.155707,failure_aware_rl_recovery,10
failure_aware_rl_recovery,deployment_coverage,higher,0.999392,1.000000,-0.000608,0.000443,-0.001051,-0.000165,failure_aware_rl_recovery,10
worldbench_diagnostic_probe,task_success,higher,0.596306,0.539833,0.056472,0.002496,0.053977,0.058968,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,unsafe_commit_rate,lower,0.117387,0.087173,0.030214,0.001398,0.028815,0.031612,worldbench_diagnostic_probe,10
worldbench_diagnostic_probe,planning_regret_to_oracle,lower,0.283499,0.317743,-0.034245,0.004938,-0.039183,-0.029307,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,disagreement_family_accuracy,higher,0.536024,0.453299,0.082726,0.013452,0.069274,0.096178,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,useful_disagreement_recall,higher,0.493663,0.390278,0.103385,0.007885,0.095501,0.111270,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,noise_false_alarm_rate,lower,0.008073,0.206337,-0.198264,0.002155,-0.200419,-0.196109,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,robust_utility,higher,0.202035,0.167790,0.034245,0.004938,0.029307,0.039183,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,deployment_coverage,higher,0.999392,1.000000,-0.000608,0.000443,-0.001051,-0.000165,worldbench_diagnostic_probe,10
ensemble_forecasting_calibrator,task_success,higher,0.596306,0.551197,0.045108,0.001968,0.043141,0.047076,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,unsafe_commit_rate,lower,0.117387,0.137311,-0.019924,0.001553,-0.021478,-0.018371,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,planning_regret_to_oracle,lower,0.283499,0.322114,-0.038616,0.004535,-0.043151,-0.034081,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,disagreement_family_accuracy,higher,0.536024,0.330990,0.205035,0.013861,0.191174,0.218896,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,useful_disagreement_recall,higher,0.493663,0.251736,0.241927,0.006066,0.235861,0.247993,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,noise_false_alarm_rate,lower,0.008073,0.050694,-0.042622,0.003609,-0.046230,-0.039013,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,robust_utility,higher,0.202035,0.163419,0.038616,0.004535,0.034081,0.043151,risk_bounded_typed_disagreement_protocol_v5,10
ensemble_forecasting_calibrator,deployment_coverage,higher,0.999392,0.995833,0.003559,0.001593,0.001966,0.005152,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,task_success,higher,0.596306,0.576786,0.019519,0.001705,0.017814,0.021224,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,unsafe_commit_rate,lower,0.117387,0.122120,-0.004734,0.001240,-0.005974,-0.003494,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,planning_regret_to_oracle,lower,0.283499,0.292828,-0.009330,0.003780,-0.013110,-0.005550,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,disagreement_family_accuracy,higher,0.536024,0.400781,0.135243,0.011749,0.123494,0.146992,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,useful_disagreement_recall,higher,0.493663,0.468490,0.025174,0.006150,0.019023,0.031324,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,noise_false_alarm_rate,lower,0.008073,0.033594,-0.025521,0.002228,-0.027749,-0.023292,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,robust_utility,higher,0.202035,0.192705,0.009330,0.003780,0.005550,0.013110,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,deployment_coverage,higher,0.999392,0.999913,-0.000521,0.000376,-0.000897,-0.000145,bayesian_active_model_selection,10
uncertainty_aware_mppi,task_success,higher,0.596306,0.641566,-0.045261,0.002368,-0.047629,-0.042892,uncertainty_aware_mppi,10
uncertainty_aware_mppi,unsafe_commit_rate,lower,0.117387,0.109975,0.007411,0.001338,0.006073,0.008749,uncertainty_aware_mppi,10
uncertainty_aware_mppi,planning_regret_to_oracle,lower,0.283499,0.201061,0.082438,0.004420,0.078018,0.086858,uncertainty_aware_mppi,10
uncertainty_aware_mppi,disagreement_family_accuracy,higher,0.536024,0.291840,0.244184,0.010234,0.233950,0.254418,risk_bounded_typed_disagreement_protocol_v5,10
uncertainty_aware_mppi,useful_disagreement_recall,higher,0.493663,0.248958,0.244705,0.006020,0.238684,0.250725,risk_bounded_typed_disagreement_protocol_v5,10
uncertainty_aware_mppi,noise_false_alarm_rate,lower,0.008073,0.042969,-0.034896,0.002788,-0.037683,-0.032108,risk_bounded_typed_disagreement_protocol_v5,10
uncertainty_aware_mppi,robust_utility,higher,0.202035,0.288614,-0.086579,0.004502,-0.091081,-0.082077,uncertainty_aware_mppi,10
uncertainty_aware_mppi,deployment_coverage,higher,0.999392,1.000000,-0.000608,0.000443,-0.001051,-0.000165,uncertainty_aware_mppi,10
information_gain_probe_policy,task_success,higher,0.596306,0.537719,0.058587,0.002137,0.056450,0.060724,risk_bounded_typed_disagreement_protocol_v5,10
information_gain_probe_policy,unsafe_commit_rate,lower,0.117387,0.114318,0.003068,0.001572,0.001496,0.004640,information_gain_probe_policy,10
information_gain_probe_policy,planning_regret_to_oracle,lower,0.283499,0.351682,-0.068184,0.004825,-0.073008,-0.063359,risk_bounded_typed_disagreement_protocol_v5,10
information_gain_probe_policy,disagreement_family_accuracy,higher,0.536024,0.421354,0.114670,0.010753,0.103917,0.125423,risk_bounded_typed_disagreement_protocol_v5,10
information_gain_probe_policy,useful_disagreement_recall,higher,0.493663,0.326215,0.167448,0.006962,0.160486,0.174410,risk_bounded_typed_disagreement_protocol_v5,10
information_gain_probe_policy,noise_false_alarm_rate,lower,0.008073,0.095660,-0.087587,0.003491,-0.091078,-0.084096,risk_bounded_typed_disagreement_protocol_v5,10
information_gain_probe_policy,robust_utility,higher,0.202035,0.133851,0.068184,0.004825,0.063359,0.073008,risk_bounded_typed_disagreement_protocol_v5,10
information_gain_probe_policy,deployment_coverage,higher,0.999392,0.998698,0.000694,0.000708,-0.000014,0.001403,statistical_tie,10
recovery_first_policy,task_success,higher,0.596306,0.688657,-0.092351,0.002664,-0.095016,-0.089687,recovery_first_policy,10
recovery_first_policy,unsafe_commit_rate,lower,0.117387,0.078959,0.038428,0.001743,0.036684,0.040171,recovery_first_policy,10
recovery_first_policy,planning_regret_to_oracle,lower,0.283499,0.138818,0.144681,0.004473,0.140208,0.149153,recovery_first_policy,10
recovery_first_policy,disagreement_family_accuracy,higher,0.536024,0.185417,0.350608,0.013121,0.337486,0.363729,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,useful_disagreement_recall,higher,0.493663,0.115712,0.377951,0.004489,0.373463,0.382440,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,noise_false_alarm_rate,lower,0.008073,0.105729,-0.097656,0.002687,-0.100343,-0.094969,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,robust_utility,higher,0.202035,0.371191,-0.169156,0.004569,-0.173725,-0.164588,recovery_first_policy,10
recovery_first_policy,deployment_coverage,higher,0.999392,0.954688,0.044705,0.003526,0.041179,0.048231,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,task_success,higher,0.596306,0.609751,-0.013445,0.002967,-0.016413,-0.010478,typed_disagreement_protocol_v4,10
typed_disagreement_protocol_v4,unsafe_commit_rate,lower,0.117387,0.076477,0.040909,0.001511,0.039399,0.042420,typed_disagreement_protocol_v4,10
typed_disagreement_protocol_v4,planning_regret_to_oracle,lower,0.283499,0.207066,0.076432,0.005236,0.071196,0.081669,typed_disagreement_protocol_v4,10
typed_disagreement_protocol_v4,disagreement_family_accuracy,higher,0.536024,0.510417,0.025608,0.015159,0.010449,0.040767,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,useful_disagreement_recall,higher,0.493663,0.636979,-0.143316,0.007534,-0.150850,-0.135782,typed_disagreement_protocol_v4,10
typed_disagreement_protocol_v4,noise_false_alarm_rate,lower,0.008073,0.048872,-0.040799,0.002767,-0.043565,-0.038032,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,robust_utility,higher,0.202035,0.278467,-0.076432,0.005236,-0.081669,-0.071196,typed_disagreement_protocol_v4,10
typed_disagreement_protocol_v4,deployment_coverage,higher,0.999392,0.957986,0.041406,0.003384,0.038022,0.044791,risk_bounded_typed_disagreement_protocol_v5,10
